application,method,season,month,coverage,width
exports,pool_f,9,Sep,1.0,10.788149206381494
exports,pool_f,10,Oct,0.9,10.788149206381494
exports,pool_f,11,Nov,0.9,10.756878528578827
exports,pool_f,12,Dec,1.0,10.755238383567377
exports,norm_f,1,Jan,1.0,13.266816713713544
exports,norm_f,2,Feb,1.0,11.264725803485103
exports,norm_f,3,Mar,0.9,10.605563728389145
exports,norm_f,4,Apr,0.8,15.427004123445531
exports,norm_f,5,May,0.9,10.137533567123077
exports,norm_f,6,Jun,0.7,8.258662461171197
exports,norm_f,7,Jul,1.0,10.112243510250144
exports,norm_f,8,Aug,1.0,12.432715615187561
exports,norm_f,9,Sep,1.0,9.271290755951167
exports,norm_f,10,Oct,0.9,7.439081010482366
exports,norm_f,11,Nov,0.9,14.18515914887629
exports,norm_f,12,Dec,1.0,8.44187839394323
exports,strat_f,1,Jan,1.0,13.550061963974468
exports,strat_f,2,Feb,1.0,18.416148552689727
exports,strat_f,3,Mar,0.9,15.005818388453974
exports,strat_f,4,Apr,0.9,23.959531493028056
exports,strat_f,5,May,0.9,15.756393163685468
exports,strat_f,6,Jun,1.0,18.386857176346393
exports,strat_f,7,Jul,1.0,31.749301089615205
exports,strat_f,8,Aug,1.0,17.049939674494944
exports,strat_f,9,Sep,0.9,8.970121594628123
exports,strat_f,10,Oct,0.9,9.695819207684403
exports,strat_f,11,Nov,0.9,15.658390706316272
exports,strat_f,12,Dec,1.0,10.757409727555686
exports,hyb_cv,1,Jan,1.0,13.266816713713544
exports,hyb_cv,2,Feb,1.0,11.264725803485103
exports,hyb_cv,3,Mar,0.9,15.005818388453974
exports,hyb_cv,4,Apr,0.9,23.959531493028056
exports,hyb_cv,5,May,0.9,13.50884932506051
exports,hyb_cv,6,Jun,1.0,10.284301404206236
exports,hyb_cv,7,Jul,1.0,16.603360784059664
exports,hyb_cv,8,Aug,1.0,15.203050050771996
exports,hyb_cv,9,Sep,0.9,9.030355426892735
exports,hyb_cv,10,Oct,0.9,9.018797748523792
exports,hyb_cv,11,Nov,0.9,15.658390706316272
exports,hyb_cv,12,Dec,1.0,10.757409727555686
exports,hyb_50,1,Jan,1.0,13.408439338844005
exports,hyb_50,2,Feb,1.0,14.840437178087416
exports,hyb_50,3,Mar,0.9,12.805691058421562
exports,hyb_50,4,Apr,0.9,19.69326780823679
exports,hyb_50,5,May,0.9,12.946963365404272
exports,hyb_50,6,Jun,1.0,13.322759818758797
exports,hyb_50,7,Jul,1.0,20.930772299932677
exports,hyb_50,8,Aug,1.0,14.741327644841254
exports,hyb_50,9,Sep,1.0,9.120706175289644
exports,hyb_50,10,Oct,0.9,8.567450109083385
exports,hyb_50,11,Nov,0.9,14.92177492759628
exports,hyb_50,12,Dec,1.0,9.599644060749457
